schoolcampus,dbn,bldg_code
PS 1(BS),15K001,K001
PS 3(BROOKLYN),13K003,K003
P4@P843(BN),75K004,K843
PS 5(BROOKLYN),16K005,K005
PS 6(BROOKLYN),17K006,K006
PS 7(BROOKLYN),19K007,K007
PS 10(BS),15K010,K010
PS 11(BN),13K011,K011
IS 14(BS),22K014,K014
PS 15(BROOKLYN),15K015,K015
PS 17(BROOKLYN),14K017,K017
PS 18(BROOKLYN),14K018,K018
PS 19(BROOKLYN),14K019,K019
PS 21(BROOKLYN),16K021,K021
PS 24(BROOKLYN),15K024,K024
PS 25(BROOKLYN),16K025,K025
PS 28(BROOKLYN),16K028,K028
PS 29(BROOKLYN),15K029,K029
IS 30(BS),20K030,K331
PS 32(BROOKLYN),15K032,K032
PS 34(BROOKLYN),14K034,K034
P036K(BROOKLYN),19K036,K857
PS 38(BROOKLYN),15K038,K038
PS 39(BROOKLYN),15K039,K039
PS 41(BROOKLYN),23K041,K041
PS 44(BROOKLYN),13K044,K044
PS 45(BROOKLYN),32K045,K045
PS 46(BROOKLYN),13K046,K046
JHS 50(BN),14K050,K050
MS 51(BS),15K051,K051
PS 52(BROOKLYN),22K052,K052
PS 54(BROOKLYN),13K054,K054
PS 56(BROOKLYN),13K056,K056
MS 57(BN),16K057,K057
PS 58(BROOKLYN),15K058,K058
MS 61(BS),17K061,K061
IS 62(BS),20K062,K062
PS 66 (BROOKLYN),18K066,K066
PS 67(BROOKLYN),13K067,K067
IS 68(BS),18K068,K068
PS 69 (BROOKLYN),20K069,K069
JUAN MOREL CAMPOS SECONDARY SCH-IS 71K(BN),14K071,K071
PS 72(BROOKLYN),19K072,K072
PS 73(BROOKLYN),23K073,K073
PS 75(BROOKLYN),32K075,K075
PS 81(BROOKLYN),16K081,K081
PS 84(BROOKLYN),14K084,K084
PS 89 CYPRESS HILLS (BROOKLYN),19K089,K814
PS 90(BROOKLYN),21K090,K090
PS 91(BROOKLYN),17K091,K091
PS 92(BROOKLYN),17K092,K092
PS 93(BROOKLYN),13K093,K093
PS 94(BROOKLYN),15K094,K094
PS 95(BROOKLYN),21K095,K095
PS 97(BROOKLYN),21K097,K097
IS/JHS 98(BS),21K098,K043
PS 99(BROOKLYN),21K099,K099
PS 100(BS),21K100,K100
