schoolcampus,dbn,bldg_code
ACADEMY FOR ENVIRONMENTAL LEADERSHIP(BN),,
ACADEMY FOR SOCIAL ACTION(MN),,
ACADEMY OF COLLABORATIVE EDUCATION(MN),,
ACADEMY OF ENVIRONMENTAL SCIENCE SECONDARY HS(MN),,
ADLAI STEVENSON HS GED(XE),,X450
ADLAI STEVENSON HS(XE),,X450
ALC - MS 53@IS 053Q (QS),,
ALC- SUTPHIN HS@QNS SUSP. CENTER,,
ALC-COMPLEX (OLD PS 182Q - QNS),,
ALC-PS 6(XW),,
ALC-RF WAGNER HS@RF WAGNER JR. (QN),,
ALTERNATE LEARNING CENTER OF PROSPECT PLACE(BN),,
ALTERNATE LEARNING CENTER RENAISSANCE CENTER(BN),,
ALTERNATIVE LEARNING CENTER@JOHN JAY CAMPUS,,
ARTS & MEDIA PREPARATORY ACADEMY(BS),,
AUXILIARY SERVICES@JEFFREY TENZER(MS),,
AUXILIARY SERVICES@MONROE ACADEMY EVENING(XE),,
AUXILIARY SERVICES@SAINT GEORGE DAY(SI),,
AUXILIARY SERVICES@WILLIAM GRADY VOC  HS(BS),,
BAYARD RUSTIN EDUCATIONAL COMPLEX(MS),,
BEACH CHANNEL HS(QS),,Q410
BRONX ACADEMY HIGH SCHOOL(XE),,
BRONX WEST BOROUGH OFFICE,,
BROOKLYN NORTH BOROUGH OFFICE,,
BROOKLYN SOUTH BOROUGH OFFICE,,
BROOKLYN URBAN GARDEN CHARTER SCHOOL (BS),,
BUSHWICK HS(BN),,
CANARSIE EVENING HS TUES & THURS(BS),,
CAREER EDUCATION CENTER(MS),,
CHRISTOPHER COLUMBUS HS YABC(XE),,X415
CHRISTOPHER COLUMBUS HS(XE),,X415
CITY AS SCHOOL HS (BN),,
CONEY ISLAND PREP ELEMENTARY SCHOOL(BS),,
CONEY ISLAND PREP MIDDLE SCHOOL(BS),,
CROTONA ACADEMY HS(XW),,
CS 191@PS 129 TWIN PARKS UPPER(XW),,
CSE 8 (BRONX),,
DISTRICT 18 OFFICE (BS),,
DISTRICT 29 OFFICE(QS),,
DISTRICT 6 OFFICE (MN),,
DISTRICT 7 OFFICE(XW),,
EAST FLATBUSH COMMUNITY RESEARCH SCHOOL(BS),,
EAST HARLEM SCHOLARS ACADEMY CHARTER SCHOOL @320 EAST 96TH ST,,
EAST NEW YORK PREPARATORY CHARTER SCHOOL(BN),,
EAST NY FAMILY ACADEMY,,
EBC/ENY HS FOR PUBLIC SAFETY & LAW(BN),,
EVANDER CHILDS EVENING HS MON & WED(XE),,
EVANDER CHILDS HS GED(XE),,
FAR ROCKAWAY HS(QS),,
FOREIGN LANGUAGE ACADEMY OF GLOBAL STUDIES FLAGS HS(XW),,
FOUNDATIONS ACADEMY(BN),,
FRANCES PERKINS ACADEMY(BN),,
FRANKLIN K LANE HS(BN),,
FREDERICK DOUGLASS ACADEMY IV SECONDARY SCHOOL(BN),,
GEORGE WASHINGTON YABC YOUNG ADULT BOROUGH CENTER(MN),,
GIRLS PREP CHARTER SCHOOL OF THE BX@MS 301X (XE),,
GIRLS PREP. CHARTER SCH. OF THE BX@MS 301X (XE),,
GLOBAL TECHNOLOGY PREPARATORY(MN),,
