latitude,longitude,school_name,school_no,gc,sw,enroll2022_21,enroll,dbn,black,hispanic,asian,multi,native_a,white,iep,poverty_no,grades_final_text,address,cic,yrly_cic_16_22,pct_chronic_absent,s_know_mh_re_ag,co_located,school_tag,split_skool,s_rr,school_type,lead_cbo_partner,school_psychologist_providing,provider,pct_temp_housing
,,M.S. 935,K935,0.0,0.0,97.0,97.0,19K935,16.0,77.0,4.0,0.0,0.0,0.0,23.0,79,,,,,20.0,85.0,,District,,98.93617021276596,,,,,15.625
40.722075,-73.978747,P.S. 015 Roberto Clemente,M015,0.0,1.6,193.0,179.0,01M015,50.0,93.0,21.0,3.0,0.0,12.0,38.0,150,"PK,0K,01,02,03,04,05",333 EAST  4 STREET,8.0,"1,2,2,2,0,1,0",59.5,,M015,District,,,Elementary,Pathways to Leadership,0.0,,31.52174056
40.730009,-73.984496,P.S. 019 Asher Levy,M019,1.0,0.4,212.0,176.0,01M019,32.0,101.0,10.0,8.0,1.0,21.0,72.0,124,"PK,0K,01,02,03,04,05",185 1 AVENUE,7.0,"0,3,4,0,0,0,0",52.4,,,,,,Elementary,,0.0,,12.43243217
40.721305,-73.986312,P.S. 020 Anna Silver,M020,1.0,1.0,412.0,351.0,01M020,53.0,192.0,69.0,6.0,3.0,27.0,74.0,246,"PK,0K,01,02,03,04,05",166 ESSEX STREET,10.0,"1,0,6,3,0,0,0",53.6,,,District,,,Elementary,,0.0,Henry Street Settlement,12.03438416
40.726008,-73.975058,P.S. 034 Franklin D. Roosevelt,M034,2.0,0.0,273.0,258.0,01M034,107.0,136.0,8.0,0.0,1.0,6.0,88.0,Above 95,"PK,0K,01,02,03,04,05,06,07,08",730 EAST  12 STREET,14.0,"0,3,5,4,2,0,0",70.2,72.0,,District,,69.36936936936937,K-8,"University Settlement Society of New York, Inc.",0.0,University Settlement,21.03321105
40.72444,-73.986214,The STAR Academy - P.S.63,M063,1.0,0.3,208.0,186.0,01M063,38.0,120.0,3.0,7.0,1.0,14.0,60.0,139,"PK,0K,01,02,03,04,05",121 EAST  3 STREET,1.0,"1,0,0,0,0,0,0",51.5,,M063,District,,,Elementary,,0.0,University Settlement,12.69035488
40.72313,-73.981597,P.S. 064 Robert Simon,M064,1.0,0.3,220.0,215.0,01M064,42.0,159.0,6.0,2.0,1.0,4.0,56.0,201,"PK,0K,01,02,03,04,05",600 EAST  6 STREET,10.0,"0,1,4,2,1,0,2",66.1,,M064,District,,,Elementary,Educational Alliance,0.0,University Settlement,20.93023211
40.7162,-73.9798,P.S. 110 Florence Nightingale,M110,1.0,0.4,373.0,330.0,01M110,35.0,156.0,40.0,9.0,1.0,89.0,52.0,207,"PK,0K,01,02,03,04,05",285 DELANCY STREET,4.0,"0,0,1,2,0,0,1",41.4,,,District,,,Elementary,,0.0,,11.180124430000001
40.714248,-73.983854,P.S. 134 Henrietta Szold,M134,1.0,1.0,217.0,177.0,01M134,51.0,103.0,13.0,5.0,1.0,3.0,67.0,Above 95,"PK,0K,01,02,03,04,05",293 EAST BROADWAY,7.0,"1,1,0,4,1,0,0",66.2,,,District,,,Elementary,,0.0,Henry Street Settlement,20.3125
40.719148,-73.983769,P.S. 140 Nathan Straus,M140,2.0,0.0,358.0,340.0,01M140,67.0,246.0,8.0,3.0,1.0,14.0,130.0,294,"PK,0K,01,02,03,04,05,06,07,08",123 RIDGE STREET,9.0,"1,3,2,1,0,1,1",79.8,60.0,,District,,5.521472392638037,K-8,CENTER FOR EDUCATIONAL INNOVATION,0.0,Henry Street Settlement,19.491524990000002
